dataset,estimator,cost_type,n_samples,method,validity,cost,plausibility,sparsity,time,time per samples
FICO,RandomForest,std,20,FOCUS (0.1),0.5,1.3949259139597416,0.44151356497159633,3.4000000000000004,378.82416796684265,18.941208398342134
FICO,RandomForest,std,20,FT++,1.0,1.7633389238744823,0.4664270531930046,1.85,3.6341638565063477,0.1817081928253174
FICO,RandomForest,std,20,FT,1.0,2.570661328289847,0.4478812040844208,2.0999999999999996,0.3372969627380371,0.016864848136901856
FICO,RandomForest,std,20,OAE,0.05,9.82656784178375,0.44811367599993,6.0,3828.2865221500397,191.41432610750198
FICO,RandomForest,std,20,FOCUS (0.001),0.75,12.977793968593081,0.46413803037278156,16.26666666666667,369.85675287246704,18.492837643623353
FICO,RandomForest,std,20,FOCUS (0.01),0.65,5.735892400718653,0.4289659308540493,10.153846153846155,381.94295024871826,19.097147512435914
FICO,RandomForest,std,20,FOCUS (0.1),0.3,1.0095796836540103,0.43949166616957375,2.1666666666666665,391.1714050769806,19.55857025384903
FICO,RandomForest,std,20,FT++,1.0,2.516207111075207,0.4389356505182582,2.25,3.6570329666137695,0.18285164833068848
FICO,RandomForest,std,20,FT,1.0,1.6682720518272354,0.44757630531131276,1.9500000000000002,0.310546875,0.01552734375
FICO,RandomForest,std,20,OAE,0.5,15.579267709841591,0.50463478116187,10.7,3828.588129043579,191.42940645217897
FICO,RandomForest,std,20,FOCUS (0.001),0.9,11.090812356521687,0.4527177415289464,14.500000000000002,372.1326050758362,18.60663025379181
FICO,RandomForest,std,20,FOCUS (0.01),0.8,5.257507675210945,0.44949604916567987,9.1875,373.047767162323,18.65238835811615
FICO,RandomForest,std,20,FOCUS (0.1),0.45,1.0311732905813389,0.448301222888935,3.111111111111111,363.94196796417236,18.197098398208617
FICO,RandomForest,std,20,FT++,1.0,1.6002663399378616,0.4472167376137938,2.0,3.7262659072875977,0.18631329536437988
FICO,RandomForest,std,20,FT,1.0,2.0379029624220797,0.4673621649874845,2.0,0.30051517486572266,0.015025758743286132
FICO,RandomForest,std,20,OAE,0.3,26.871850755914668,0.5949496353334672,13.500000000000004,3834.9236328601837,191.74618164300918
FICO,RandomForest,std,20,FOCUS (0.001),0.8,9.941240431042388,0.4636670648412613,14.5625,369.6251618862152,18.48125809431076
FICO,RandomForest,std,20,FOCUS (0.01),0.8,4.995222816476598,0.4547124968008609,9.625,362.66021823883057,18.13301091194153
FICO,RandomForest,std,20,FOCUS (0.1),0.45,1.6502631246629689,0.4573216561070036,3.777777777777778,362.9661319255829,18.148306596279145
FICO,RandomForest,std,20,FT++,1.0,1.9593237579758604,0.47142204291889467,2.2,3.6689610481262207,0.18344805240631104
FICO,RandomForest,std,20,FT,1.0,3.4010181552422694,0.45665598278862934,2.6500000000000004,0.3087921142578125,0.015439605712890625
FICO,RandomForest,std,20,OAE,0.6,16.134230969019008,0.5153507507287989,10.75,3833.9653267860413,191.69826633930205
