dataset,estimator,shift_type,cost_type,n_samples,method,parameter,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,1026,BetaRobust,0.8,1.0,0.3966861598440546,2.664413643522108,0.4545191873729688,2.5058479532163744,172.29180312156677,0.1679257340366148
FICO,XGBoost,split,tlps,1026,BetaRobust,0.85,1.0,0.41130604288499023,2.747505568065503,0.45457667706723615,2.530214424951267,172.29180312156677,0.1679257340366148
FICO,XGBoost,split,tlps,1026,BetaRobust,0.9,1.0,0.4171539961013645,2.810740484321578,0.45453510934607194,2.5779727095516574,172.29180312156677,0.1679257340366148
FICO,XGBoost,split,tlps,1026,DiRARTE-W,1.5,1.0,0.4171539961013645,3.3066622837790134,0.46360088597196547,2.85672514619883,73.4717926979065,0.07160993440341763
FICO,XGBoost,split,tlps,1026,DiRARTE-W,2.0,1.0,0.4649122807017544,4.413699578384511,0.4650902769873949,3.2339181286549703,73.4717926979065,0.07160993440341763
FICO,XGBoost,split,tlps,1026,DiRARTE-W,2.5,0.9951267056530214,0.5730994152046783,5.895082382804919,0.46766249571317653,3.6699314397649356,73.4717926979065,0.07160993440341763
FICO,XGBoost,split,tlps,1026,DiRARTE-W,3.0,0.9658869395711501,0.5955165692007798,8.029179746326074,0.47099645065365886,4.046417759838547,73.4717926979065,0.07160993440341763
FICO,XGBoost,split,tlps,1026,DiRARTE-W,3.5,0.8869395711500975,0.5760233918128655,10.513653093835593,0.47282275362408305,4.3999999999999995,73.4717926979065,0.07160993440341763
FICO,XGBoost,split,tlps,1026,DiRARTE-X,0.02,1.0,0.3810916179337232,3.231381251775812,0.45489357132821495,2.824561403508772,98.87747693061829,0.09637180987389697
FICO,XGBoost,split,tlps,1026,DiRARTE-X,0.04,0.9980506822612085,0.4473684210526316,4.552012421533143,0.4551629956054419,3.333984375,98.87747693061829,0.09637180987389697
FICO,XGBoost,split,tlps,1026,DiRARTE-X,0.06,0.98635477582846,0.49317738791423,6.210259145414411,0.45542970797430865,3.7312252964426875,98.87747693061829,0.09637180987389697
FICO,XGBoost,split,tlps,1026,DiRARTE-X,0.08,0.9405458089668616,0.5604288499025342,7.694446260490069,0.4548660591965504,4.04559585492228,98.87747693061829,0.09637180987389697
FICO,XGBoost,split,tlps,1026,DiRARTE-X,0.1,0.8810916179337231,0.5662768031189084,9.137818596461653,0.45497438210697316,4.242256637168142,98.87747693061829,0.09637180987389697
FICO,XGBoost,split,tlps,1052,Baseline,0.0,1.0,0.25190114068441066,1.305701866341398,0.45239048068707444,1.8250950570342204,83.24170708656311,0.07912709799102957
FICO,XGBoost,split,tlps,1052,RobX,0.5,0.9990494296577946,0.3906844106463878,8.096768007304576,0.43865470210907903,15.157944814462414,398.8198390007019,0.3791063108371691
FICO,XGBoost,split,tlps,1052,RobX,0.55,0.9952471482889734,0.43631178707224333,9.138973488606037,0.436652164526524,15.206303724928363,398.8198390007019,0.3791063108371691
FICO,XGBoost,split,tlps,1052,RobX,0.6,0.9990494296577946,0.48954372623574144,10.3184196025449,0.4356957563889731,15.200761179828733,398.8198390007019,0.3791063108371691
FICO,XGBoost,split,tlps,1052,RobX,0.65,0.997148288973384,0.5484790874524715,11.344769112018353,0.4344695415765495,15.263107721639654,398.8198390007019,0.3791063108371691
FICO,XGBoost,split,tlps,1052,RobX,0.7,0.997148288973384,0.5998098859315589,12.882015020346394,0.4335915401852706,15.359389895138229,398.8198390007019,0.3791063108371691
FICO,XGBoost,split,tlps,1052,BetaRobust,0.7,1.0,0.3431558935361217,2.4003386447269532,0.44660518919617226,2.361216730038023,200.36208200454712,0.19045825285603338
FICO,XGBoost,split,tlps,1052,BetaRobust,0.75,1.0,0.34980988593155893,2.4897265428357542,0.44621637648031076,2.425855513307985,200.36208200454712,0.19045825285603338
FICO,XGBoost,split,tlps,1052,BetaRobust,0.8,1.0,0.35361216730038025,2.5579472839639537,0.4461594160865019,2.445817490494297,200.36208200454712,0.19045825285603338
FICO,XGBoost,split,tlps,1052,BetaRobust,0.85,1.0,0.35551330798479086,2.640977124656065,0.44612041513533696,2.4800380228136887,200.36208200454712,0.19045825285603338
FICO,XGBoost,split,tlps,1052,BetaRobust,0.9,1.0,0.3773764258555133,2.7442120479771153,0.44595871436689444,2.527566539923954,200.36208200454712,0.19045825285603338
